WORD,DEF
auvent,"[ovᾶ] nm : canopy, awning"
aux,[o] ▶ à ▶ les
auxiliaire 1,[oksiljεr] adj : auxiliary auxiliaire 2 nmf : auxiliary auxiliaire 3 nm : auxiliary (verb)
"auxquels, auxquelles",[okεl] ▶ lequel
"avachi, -chie","[ava∫i] adj 1 : shapeless, misshapen 2 : limp, flabby"
aval,"[aval] nm 1 : endorsement (in law and finance) 2 ▶ soutien : support, backing 3 en ~ : downstream, lower down"
avalanche,[avalᾶ∫] nf : avalanche
avaler,[avale] vt 1 : to swallow 2 : to inhale
avaliser,"[avalize] vt : to endorse, to support"
avance,"[avᾶs] nf 1 : advance 2 : lead 3 à l'avance : in advance, ahead of schedule 4 d'avanceor par ~ : in advance, already 5 en ~ : early 6 avances nfpl : advances, overtures"
"avancé, -cée","[avᾶse] adj 1 : advanced 2 : progressive avancée nf : overhang, projection"
avancement,"[avᾶsmᾶ] nm 1 : advancement, progress 2 : promotion"
avancer,"[avᾶse] vt {CONJUGATION 6} 1 : to advance, to put forward 2 : to promote, to further vi 1 : to advance, to go forward 2 : to be ahead of time <ma montre avance de trois minutes : my watch is three minutes fast> s'avancer vr 1 : to advance, to move forward 2 : to progress, to get ahead 3 : to project, to protrude"
avanie,[avani] nf : snub
avant 1,"[avᾶ] adv 1 : before <quelques semaines avant : a few weeks before> <la page d'avant : the preceding page> 2 : first <tu devrais manger avant : you should eat first> 3 : far, deep <avant dans la forêt : deep within the forest> 4 : in front <elle marchait avant : she was walking in front> 5 ~ de : before <avant de partir : before leaving> 6 avant que : before, until <ne parlez pas avant qu'il ne le fasse : don't speak until he does> avant 2 adj : front <la roue avant : the front wheel> avant 3 nm 1 : front 2 : forward (in sports) 3 en ~ : forward, ahead 4 en avant de : ahead of avant 4 prep 1 : before, by <avant la fin : before the end> <avant huit heures : by eight o'clock> <avant peu : shortly> 2 avant tout : first and foremost, above all"
avantage,[avᾶtaʒ] nm 1 : advantage <tirer avantage de : to take advantage of> 2 : benefit <avantages sociaux : fringe benefits> 3 être à son avantage : to look one's best
avantager,"[avᾶtaʒe] vt {CONJUGATION 17} 1 ▶ favoriser : to favor, to give an advantage to 2 : to flatter, to show to advantage"
"avantageux, -geuse","[avᾶtaʒø, -ʒøz] adj 1 : advantageous, attractive <prix avantageux : attractive prices> 2 : flattering"
avantageusement,[-ʒøzmᾶ] adv
avant-bras,[avᾶbra] nm : forearm
avant-coureur,"[avᾶkurœr] adj : precursory, early"
"avant-dernier, -nière","[avᾶdεrnje, -njεr] adj : next to last"
avant-garde,[avᾶgard] nf 1 : vanguard 2 : avant-garde
avant-goût,[avᾶgu] nm : foretaste
avant-hier,[avᾶtjεr] adv : the day before yesterday
avant-midi,"[avᾶmidi] nf & pl, Can nms & pl Bel : morning"
avant-poste,[avᾶpɔst] nm : outpost
avant-première,[avᾶprəmjεr] nf : preview
avant-projet,[avᾶprɔʒe] nm (rough) draft
avant-propos,[avᾶprɔpo] nms & pl : foreword
avant-toit,[avᾶtwa] nm : eaves pl
avare 1,"[avar] adj : miserly, greedy avare 2 nmf : miser"
avarice,"[avaris] nf : avarice, miserliness"
"avaricieux, -cieuse","[avarisjø, -sjøz] adj : miserly, stingy"
avarie,[avari] nf : damage (in shipping)
avatar,"[avatar] nm 1 : mishap 2 : metamorphosis, transformation 3 : avatar"
avec 1,"[avεk] adv, fam : with it, with that, with them <voulez-vous du vin avec? : would you like wine with that?> avec 2 prep : with"
aveline,[avlin] nf : filbert (nut)
"avenant 1, -nante","[avnᾶ, -nᾶt] adj : pleasant, attractive avenant 2 nm 1 : endorsement 2 : codicil 3 à l'avenant : in keeping, in conformity"
avènement,"[avεnmᾶ] nm 1 : accession (to a throne) 2 : coming, advent"
avenir,[avnir] nm : future <à l'avenir : in the future>
avent,[avᾶ] nm l'avent : Advent
aventure,[avᾶtyr] nf 1 : adventure 2 : venture 3 ▶ liaison : love affair 4 d'~ : by chance
aventurer,[avᾶtyre] vt : to risk s'aventurer vr : to venture
"aventureux, -reuse","[avᾶtyrø, -røz] adj 1 : adventurous, venturesome 2 : risky"
"aventurier, -rière","[avᾶtyrje, -rjεr] n : adventurer"
"avenu, -nue",[avny] adj nul et non avenu : null and void avenue nf : avenue
"avéré, -rée","[avere] adj : acknowledged, recognized"
avérer,"[avere] v {CONJUGATION 87} s'avérer vr : to prove to be, to turn out to be"
averse,"[avεrs] nf : shower, storm"
aversion,"[avεrsjɔ̃] nf : aversion, dislike"
avertir,"[avεrtir] vt 1 : to warn 2 ▶ aviser : to advise, to inform"
avertissement,"[avεrtismᾶ] nm 1 : warning 2 : official notice, reprimand 3 : foreword (of a book)"
avertisseur,[avεrtisœr] nm 1 (car) horn 2 : alarm <avertisseur de fumée : smoke alarm>
aveu,"[avø] nm, pl aveux : confession, admission <passer aux aveux : to confess>"
"aveuglant, -glante","[avœglᾶ, -glᾶt] adj : blinding, glaring"
aveugle 1,[avœgl] adj : blind aveugle 2 nmf : blind person
aveuglement,[avœgləmᾶ] nm : blindness
aveuglément,[avœglemᾶ] adv : blindly
aveugler,"[avœgle] vt 1 : to blind, to dazzle 2 : to block, to stop up s'aveugler vr ~ sur : to turn a blind eye to"
aveuglette,[avœglεt] adv à l'aveuglette : blindly <avancer à l'aveuglette : to grope one's way>
"aviateur, -trice","[avjatœr, -tris] n : aviator, pilot"
aviation,[avjasjɔ̃] nf : aviation
aviculture,[avikyltyr] nf : poultry farming
avide,[avid] adj 1 : greedy 2 : eager
avidement,[avidmᾶ] adv
avidité,[avidite] nf 1 : greed 2 : eagerness
avilir,"[avilir] vt : to degrade, to debase s'avilir vr"
avilissement,"[avilismᾶ] nm : degradation, debasement"
"aviné, -née",[avine] adj : inebriated
avion,[avjɔ̃] nm : airplane <avion à réaction : jet plane> <avion de ligne : airliner> <avion de chasse : fighter plane>
avion-cargo,"[avjɔ̃kargo] nm, pl avions-cargos : cargo plane, freighter"
aviron,[avirɔ̃] nm 1 ▶ rame : oar 2 Can : paddle 3 : rowing
avis,"[avis] nm 1 : opinion <à mon avis : in my opinion> <changer d'avis : to change one's mind> 2 ▶ annonce : notice, notification 3 ▶ conseil : advice"
"avisé, -sée","[avize] adj : prudent, sensible"
aviser,"[avize] vt ▶ informer : to advise, to inform, to notify vi ▶ réfléchir : to think things over, to decide s'aviser vr : to realize, to take notice"
aviver,"[avive] vt 1 : to revive, to stir up 2 : to brighten, to liven up"
"avocat 1, -cate","[avɔka, -kat] n 1 : lawyer, attorney 2 : advocate avocat 2 nm : avocado"
avoine,[avwan] nf : oats pl
avoir 1,"[avwar] vt {CONJUGATION 10} 1 : to have <il a de l'argent : he has money> <elle va avoir un enfant : she's going to have a baby> 2 : to get <j'ai eu mes billets hier : I got my tickets yesterday> 3 : to be (a particular age) <j'ai seize ans : I'm sixteen years old> 4 : to suffer, to feel <qu'est-ce que tu as? : what's wrong?> <j'ai mal : I'm hurt> 5 ~ à : to have to <j'ai à vous parler : I must speak to you> 6 se faire avoir fam : to be had, to be conned v impers il y a : there is, there are v aux : to have <je l'ai écrit : I wrote it, I have written it, I did write it> <elle y avait été : she had been there> <ils auront fini demain : they will have finished tomorrow> avoir 2 nm 1 : assets pl, property 2 : credit"
avoirdupoids,[avwardypwa] nm : avoirdupois
avoisiner,"[avwazine] vt : to neighbor, to be near"
avortement,"[avɔrtəmᾶ] nm 1 : abortion <avortement spontané : miscarriage> 2 : failure, collapse"
avorter,"[avɔrte] vi 1 : to abort, to miscarry 2 : to fail, to abort"
avorton,[avɔrtɔ̃] nm : runt
"avoué 1, -vouée","[avwe] adj : avowed, declared avoué 2 nm : attorney"
avouer,"[avwe] vt : to admit, to confess to vi : to own up s'avouer vr : to admit <s'avouer coupable : to admit one's guilt>"
avril,[avril] nm : April
axe,"[aks] nm 1 : axis 2 : axle 3 : major road, highway 4 : main line, mainstream (in politics, etc.)"
axer,"[akse] vt : to center, to focus"
axiomatique,[aksjɔmatik] adj : axiomatic
axiome,[aksjom] nm : axiom
axis,[aksis] nms & pl : axis
ayoye or ayoille,"[ajɔj] interj, Can : ouch!"
azalée,[azale] nf : azalea
azimut,"[azimyt] nm 1 : azimuth 2 tous azimuts : all out, total 3 dans tous les azimuts : all over the place"
azote,[azɔt] nm : nitrogen
azur,[azyr] nm : azure
azyme,[azim] adj : unleavened
b,"[be] nm : b, the second letter of the alphabet"
babeurre,[babœr] nm : buttermilk
babiche,"[babi∫] nf, Can : leather lacing (for moccasins, snowshoes, etc.)"
babillage,"[babijaʒ] nm : babbling, prattle"
babillard,"[babijar] nm, Can : bulletin board"
babiller,"[babije] vi : to babble, to chatter"
babines,[babin] nfpl : chops <se lécher les babines : to lick one's chops>
babiole,"[babjɔl] nf : bauble, trinket"
bâbord,"[babɔr] nm : port (side), larboard"
babouin,[babwɛ̃] nm : baboon
baboune,"[babun] nf, Can fam faire la baboune : to sulk"
baby-sitter,"[bebisitœr] nmf, pl baby-sitters France : baby-sitter"
baby-sitting,"[bebisitiŋ] nm, France : baby-sitting"
bac,"[bak] nm 1 : ferry 2 : tub, vat <bac à glace : ice tray> 3 fam ▶ baccalauréat"
baccalauréat,[bakalɔrea] nm 1 France : school-leaving certificate 2 Can : bachelor's degree
bâche,[ba∫] nf : tarpaulin
"bachelier, -lière","[ba∫əlje, -ljεr] n : person who holds a baccalauréat"
bachot,"[ba∫o] nm, France fam ▶ baccalauréat"
bachoter,"[ba∫ɔte] vi, France : to cram (for an exam)"
bacille,[basil] nm : bacillus
bâcler,"[bakle] vt : to rush through, to dash off <travail bâclé : slapdash job, botched-up work>"
bacon,[bekɔn] nm : bacon
bactérie,[bakteri] nf : bacterium
"bactérien, -rienne","[bakterjɛ̃, -rjεn] adj : bacterial"
bactériologie,[bakterjɔlɔʒi] nf : bacteriology
bactériologiste,[-lɔʒist] nmf
"badaud, -daude","[bado, -dod] n 1 : stroller, passerby 2 (curious) onlooker"
badge,[badʒ] nm : badge
badigeonner,"[badiʒɔne] vt 1 : to daub, to smear 2 : to whitewash 3 : to paint (in medicine)"
"badin, -dine","[badɛ̃, -din] adj : playful, jocular"
badinage,"[badinaʒ] nm : banter, joking"
badine,"[badin] nf : switch, cane"
badiner,"[badine] vi 1 : to joke, to jest 2 ~ avec : to trifle with, to toy with"
badminton,[badmintɔn] nm : badminton
bâdrer,"[badre] vt, Can fam : to bother, to annoy"
baffe,"[baf] nf, fam : slap, smack"
bafouer,"[bafwe] vt ▶ ridiculiser : to ridicule, to scorn"
bafouillage,"[bafujaʒ] nm 1 : mumbling, stammering 2 : gibberish"
bafouiller,"[bafuje] v : to mumble, to stammer"
bâfrer,"[bafre] vt, fam : to gobble, to guzzle vi fam : to stuff oneself"
bagage,"[bagaʒ] nm 1 : baggage, luggage <bagages à main : hand luggage> <plier bagage : to pack up and leave> 2 : knowledge, background"
bagarre,"[bagar] nf : fight, brawl"
bagarrer,"[bagare] vi : to fight, to brawl se bagarrer vr"
"bagarreur, -reuse","[bagarœr, -røz] n : fighter, brawler"
bagatelle,"[bagatεl] nf 1 : trifle, trinket 2 : trifling sum"
bagnard,[baɲar] nm : convict
bagne,[baɲ] nm 1 : penal colony 2 : hard labor
bagnole,"[baɲɔl] nf, fam : jalopy, car"
bague,"[bag] nf 1 : ring <bague de fiançailles : engagement ring> 2 : band, circlet"
baguette,"[bagεt] nf 1 : stick, rod, baton <baguette à fusil : ramrod> <baguette de tambour : drumstick> <baguette magique : magic wand> 2 : baguette (loaf of French bread) 3 baguettes nfpl : chopsticks"
"bahreïni, -nie","[barejni] adj : Bahraini Bahreïni, -nie n : Bahraini"
baie,[bε] nf 1 : bay 2 : berry 3 or baie vitrée : picture window
baignade,"[bεɲad] nf : swimming, bathing"
baigner,"[beɲe] vt : to bathe, to wash vi : to soak, to steep se baigner vr 1 : to take a bath 2 : to go swimming"
"baigneur, -gneuse","[bεɲœr, -ɲøz] n : swimmer, bather"
baignoire,[beɲwar] nf : bathtub
bail,"[baj] nm, pl baux [bo] : lease"
bâillement,[bajmα)] nm : yawn
bâiller,[baje] vi 1 : to yawn 2 : to gape (open)
"bailleur, -leresse","[bajœr, -jrεs] n 1 : lessor 2 bailleur de fonds : financial backer"
bâillon,[bajɔ̃] nm : gag
bâillonner,[bajɔne] vt 1 : to gag 2 : to silence
bain,[bɛ̃] nm 1 : bath <bain de bouche : mouthwash> <bain de sang : bloodbath> <bain de soleil : sunbath> <prendre un bain : to take a bath> 2 : swim 3 se mettre dans le bain : to get into the swing of things
bain-marie,"[bɛ̃mari] nm, pl bains-marie : double boiler"
baïonnette,[bajɔnεt] nf : bayonet
baiser 1,[beze] vt : to kiss baiser 2 nm : kiss
baisse,"[bεs] nf 1 : fall, drop, decline 2 à la baisse : downward"
baisser,"[bese] vt 1 : to let down, to lower <baisser les yeux : to look down> <baisser les bras : to give up> 2 : to reduce (volume, light) vi : to go down, to drop, to decline se baisser vr : to bend down, to stoop, to duck"
bajoues,"[baʒu] nfpl : chops, jowls"
bal,"[bal] nm : ball, dance"
balade,"[balad] nf ▶ promenade : stroll, walk"
balader,"[balade] vt : to take for a walk vi : to stroll, to saunter se balader vr : to go for a walk, to stroll about, to gallivant (around)"
baladeur,[baladœr] nm : portable radio–cassette player
balafre,"[balafr] nf 1 : gash, slash 2 ▶ cicatrice : scar"
balai,"[balε] nm 1 : broom, brush <passer le balai : to sweep the floor> 2 : windshield-wiper blade"
balaie,[bale] balaiera [balera] etc. ▶ balayer
balance,"[balᾶs] nf 1 : scale, scales pl <faire pencher la balance : to tip the scales> 2 : balance <balance de commerce : balance of trade> 3 Can : difference, remainder <la balance de : the rest of> Balance nf : Libra"
balancement,"[balᾶsmᾶ] nm : swaying, swinging"
balancer,"[balᾶse] vt {CONJUGATION 6} 1 : to sway, to swing, to rock 2 fam : to fling, to chuck, to junk vi 1 : to sway 2 : to waver, to hesitate se balancer vr : to rock, to swing, to sway"
balancier,[balᾶsje] nm : pendulum
balançoire,[balᾶswar] nf 1 : swing 2 ▶ bascule : seesaw
balayage,[balεjaʒ] nm : sweeping
balayer,"[baleje] vt {CONJUGATION 11} 1 : to sweep, to sweep away 2 : to scan"
"balayeur, balayeuse","[balεjœr, balεjøz] n : street sweeper"
balayeuse,[balεjøz] nf 1 : street-cleaning truck 2 Can : vacuum cleaner
balbutiement,"[balbysimᾶ] nm 1 : stammering, stuttering 2 balbutiements nmpl : early stages, beginnings"
balbutier,"[balbysje] v {CONJUGATION 96} : to stammer, to stutter"
balbuzard,[balbyzar] nm or balbuzard pêcheur : osprey
balcon,[balkɔ̃] nm : balcony
baldaquin,[baldakɛ̃] nm : canopy
baleine,[balεn] nf 1 : whale 2 : rib (of an umbrella)
baleinier,[balenje] nm : whaler (ship or person)
baleinière,[balenjεr] nf : whaleboat
balise,"[baliz] nf 1 : buoy, beacon 2 : signpost, marker"
baliser,[balize] vt : to mark (with beacons or signs)
balistique 1,[balistik] adj : ballistic balistique 2 nf : ballistics
balivernes,"[balivεrn] nfpl ▶ sornettes : nonsense, humbug"
ballade,[balad] nf : ballad
"ballant 1, -lante","[balᾶ, -lᾶt] adj : dangling ballant 2 nm : slack, looseness"
ballast,[balast] nm : ballast
balle,"[bal] nf 1 : ball <balle de tennis : tennis ball> <renvoyer la balle : to pass the buck> 2 : bullet 3 : bale, bundle 4 : husk, chaff 5 France fam : franc"
balle-molle,"[balmɔl] nf, Can : softball"
ballerine,[balrin] nf : ballerina
ballet,[balε] nm : ballet
ballon,"[balɔ̃] nm 1 : ball <ballon de football : football, soccer ball> 2 : balloon 3 : wine glass, brandy glass 4 ballon d'oxygène : oxygen tank"
ballonner,"[balɔne] vt : to bloat, to distend (the stomach)"
ballon-panier,"[balɔ̃panje] nm, Can : basketball (game)"
ballot,"[balo] nm 1 ▶ baluchon : pack, bundle 2 fam : chump, fool"
ballottage,[balɔtaʒ] nm : second ballot
ballotter,"[balɔte] vt ▶ secouer : to shake, to toss about vi : to toss, to roll around"
balloune,"[balun] nf, Can 1 : balloon 2 : bubble <gomme balloune : bubble gum>"
balluchon,[baly∫ɔ̃] ▶ baluchon
balnéaire,[balneεr] adj : seaside <station balnéaire : seaside resort>
"balourd 1, -lourde","[balur, -lurd] adj : awkward, clumsy, stupid balourd 2, -lourde n : clumsy oaf, dolt"
balourdise,"[balurdiz] nf 1 : awkwardness, clumsiness 2 : gaffe, blunder"
balsa,[balza] nm : balsa
balsamine,[balzamin] nf : balsam fir
balte,[balt] adj : Baltic
baluchon,"[baly∫ɔ̃] nm ▶ ballot : pack, bundle <faire son baluchon : to pack one's bag>"
balustrade,"[balystrad] nf 1 : balustrade 2 : railing, banister"
balustre,[balystr] nf : baluster
"bambin, -bine","[bᾶbɛ̃, -bin] n : child, toddler"
bambou,[bᾶbu] nm : bamboo
ban,"[bᾶ] nm 1 : round of applause 2 bans nmpl : banns 3 mettre au ban : to banish, to ostracize"
"banal, -nale","[banal] adj, mpl banals 1 ordinaire : commonplace, ordinary 2 : banal, trite"
banaliser,[banalize] vt 1 : to make commonplace 2 voiture banalisée : unmarked car
banalité,"[banalite] nf 1 : banality, triteness 2 : platitude, cliché"
banane,[banan] nf : banana
bananier,[bananje] nm : banana tree
banc,"[bᾶ] nm 1 : bench <banc des accusés : dock (in court)> <banc d'église : pew> 2 : shoal, school (of fish) 3 : bank <banc de sable : sandbank> <banc de neige Can : snowbank>"
bancaire,"[bᾶkεr] adj : banking, bank <compte bancaire : bank account>"
"bancal, -cale","[bᾶkal] adj, mpl bancals : shaky, wobbly"
bandage,"[bᾶdaʒ] nm 1 : bandaging 2 ▶ pansement : bandage, dressing"
bande,"[bᾶd] nf 1 : gang, group, troop 2 : pack (of animals) 3 : band, strip <bande dessinée : comic strip> 4 : tape, (reel of) film <bande vidéo : videotape> <bande sonore : soundtrack> 5 donner de la bande : to list (of a ship)"
bandeau,"[bᾶdo] nm, pl bandeaux 1 : blindfold 2 : headband"
bandelette,"[bᾶdlεt] nf : narrow strip (of cloth, etc.)"
bander,"[bᾶde] vt 1 : to bandage 2 : to bend (a bow) 3 : to flex, to tense 4 bander les yeux à : to blindfold"
banderole,"[bᾶdrɔl] nf : banner, pennant"
bandit,"[bᾶdi] nm 1 voleur : bandit, robber 2 : scoundrel 3 or petit bandit : rascal"
banditisme,[bᾶditism] nm : banditry
bandoulière,[bᾶduljεr] nf : shoulder strap <en bandoulière : slung over one's shoulder>
"bangladais, -daise","[bᾶgladε, -dεz] adj : Bangladeshi Bangladais, -daise n : Bangladeshi"
banjo,[bᾶ(d)ʒo] nm : banjo
banlieue,[bᾶljø] nf : suburb(s) <de banlieue : suburban>
"banlieusard 1, -sarde","[bᾶljøzar, -zard] adj : suburban banlieusard 2, -sarde n : suburbanite, suburban commuter"
"banni 1, -nie","[bani] adj : exiled, banished banni 2, -nie n : exile"
bannière,[banjεr] nf : banner
bannir,"[banir] vt : to banish, to exile"
bannissement,[banismᾶ] nm : banishment
banque,[bᾶk] nf 1 : bank <banque commerciale : commercial bank> <banque du sang : blood bank> 2 : banking
banqueroute,[bᾶkrut] nf 1 : bankruptcy 2 faire banqueroute : to go bankrupt
banquet,"[bᾶkε] nm ▶ festin : banquet, feast"
banquette,"[bᾶkεt] nf : bench, seat (in a booth or vehicle) <banquette arrière : back seat>"
"banquier, -quière","[bᾶkje, -kjεr] n : banker"
banquise,[bᾶkiz] nf : ice floe
baptême,"[batεm] nm : baptism, christening"
baptiser,"[batize] vt : to baptize, to christen"
"baptismal, -male","[batismal] adj, mpl -maux [-mo] : baptismal"
baptistaire,"[batistεr] nm, Can : certificate of baptism"
bar,[bar] nm 1 : bar 2 : sea bass
baragouin,"[baragwɛ̃] nm : gibberish, gobbledegook"
baragouiner,[baragwine] vi : to talk gibberish vt : to speak (a language) badly <baragouiner l'anglais : to speak broken English>
baraque,"[barak] nf 1 ▶ bicoque : hut, shack 2 : stall, stand (at a fair, etc.)"
baraquement,[barakmᾶ] nm : group of shacks
baratin,"[baratɛ̃] nm : smooth talk, sales patter"
baratte,[barat] nf : churn
baratter,[barate] vt : to churn
barauder,"[barode] vt, Can : to move back and forth, to skid (on ice, etc.)"
"barbant, -bante","[barbᾶ, -bᾶt] adj, fam ▶ rasant : boring"
barbare 1,"[barbar] adj : barbarous, barbaric barbare 2 nmf : barbarian"
barbarie,"[barbari] nf : barbarity, barbarism"
barbarisme,"[barbarism] nm : barbarism (in language, manners, etc.)"
barbe,"[barb] nf 1 : beard 2 : barb (of a feather, of metal) 3 : tuft, awn (of a plant) 4 fam : bore <quelle barbe! : what a bore!>"
barbecue,[barbəkju] nm : barbecue
"barbelé 1, -lée",[barbəle] adj : barbed barbelé 2 nm : barbed wire
barber,"[barbe] vt, fam : to bore se barber vr"
barbiche,[barbi∫] nf 1 : goatee 2 : beard (of a goat)
barbier,"[barbje] nm, Can : barber"
barbiturique,[barbityrik] nm : barbiturate
barboter,"[barbɔte] vi : to paddle, to splash around vt fam : to filch"
barboteuse,"[barbɔtøz] nf, Can : wading pool"
barbouillage,"[barbujaʒ] nm : daub, smear"
barbouiller,"[barbuje] vt 1 : to smear, to daub 2 : to scribble 3 : to nauseate, to make sick <ça me barbouille le coeur : it turns my stomach>"
"barbu, -bue",[barby] adj : bearded
barda,"[barda] nm, fam : gear, stuff"
bardane,"[bardan] nf : bur, burr (in botany)"
barde,[bard] nm : bard
bardeau,"[bardo] nm, pl bardeaux 1 : shingle 2 manquer un bardeau Can fam : to be a little crazy"
barder,"[barde] vt : to bard (in cooking) v impers ça va barder! fam : there's going to be trouble!, sparks will fly!"
barème,"[barεm] nm : scale, table <barème de salaires : salary scale>"
baril,"[baril] nm ▶ tonnelet : barrel, keg"
barillet,[barijε] nm 1 : small barrel 2 : cylinder (of a revolver)
"bariolé, -lée",[barjɔle] adj ▶ multicolore : multicolored
barman,"[barman] nm, pl barmans or barmen : bartender"
baromètre,[barɔmεtr] nm : barometer
barométrique,[-metrik] adj
"baron, -ronne","[barɔ̃, -rɔn] n : baron m, baroness f"
baroque,"[barɔk] adj 1 : baroque 2 ▶ bizarre : weird, odd"
baroud,"[barud] nm, fam : fight, set-to <baroud d'honneur : last stand>"
barque,[bark] nf : small boat
barracuda,[barakyda] nm : barracuda
barrage,"[baraʒ] nm 1 : dam 2 : roadblock, barricade"
barre,"[bar] nf 1 : bar, rod 2 (written) line, stroke 3 : mark <sous la barre des deux pour cent : below the two percent mark> 4 : helm <prendre la barre : to take the helm, to take charge> 5 : bar (in law) 6 : sandbar 7 ~ d'outils : tool bar"
barreau,"[baro] nm, pl barreaux 1 : bar <derrière les barreaux : behind bars> 2 : rung (of a ladder, etc.) 3 le barreau : the bar, the legal profession"
barrer,"[bare] vt 1 : to bar, to block 2 : to mark, to cross, to cross out 3 : to steer (a boat) 4 Can : to lock (a door) se barrer vr fam : to clear out <barrez-vous! : get out of here!>"
barrette,[barεt] nf 1 : barrette 2 : biretta
barricade,[barikad] nf : barricade
barricader,"[barikade] vt : to barricade se barricader vr : to barricade oneself, to shut oneself away"
barrière,"[barjεr] nf 1 ▶ obstacle : barrier <barrières douanières : trade barriers> 2 : fence, gate"
barrique,"[barik] nf ▶ tonneau : barrel, cask"
barrir,[barir] vi : to trumpet (of an elephant)
baryton,[baritɔ̃] nm : baritone
baryum,[barjɔm] nm : barium
bas 1,"[ba] adv 1 : low <tomber bas : to sink low> 2 : softly, quietly"
"bas 2, basse","[ba, baz (before a vowel or mute h), bas] adj 1 : low 2 : base, vile 3 : bass bas 3 nms & pl 1 : bottom, lower part <de haut en bas : from top to bottom> <à bas : down with> <en bas : downstairs, below, at the bottom> <en bas de : at the bottom of, beneath> 2 : stocking 3 : bass (part)"
basalte,[bazalt] nm : basalt
"basané, -née","[bazane] adj 1 : tanned, sunburned 2 : swarthy"
bascule,"[baskyl] nf 1 : balance, scales pl 2 : rocker <fauteuil à bascule : rocking chair> 3 ▶ balançoire : seesaw"
basculer,"[baskyle] vi 1 : to tip, to topple over 2 : to rock, to swing"
base,[baz] nf 1 : base <à la base de : at the root of> <base de lancement : launching site> 2 : basis 3 base de données : database
baseball or base-ball,[bεzbol] nm : baseball
"baseballeur, -leuse","[bεzbolœr, -løz] n, Can : baseball player"
baser,"[baze] vt ▶ fonder : to base, to found"
bas-fond,"[bafɔ̃] nm 1 : shallows pl 2 : lowland 3 bas-fonds nmpl : dregs (of society), slums"
basilic,[bazilik] nm : basil
basilique,[bazilik] nf : basilica
basique,[bazik] adj : basic (in chemistry)
basket,[baskεt] or basket-ballor basketball [baskεtbol] nm : basketball
"basketteur, -teuse","[baskεtœr, -tøz] n : basketball player"
basque 1,[bask] adj : Basque basque 2 nm : Basque (language) Basque nmf : Basque
bas-relief,"[barəljεf] nm, pl bas-reliefs : bas-relief"
basse,[bas] nf 1 ▶ bas 2 2 : bass (in music)
basse-cour,"[baskur] nf, pl basses-cours 1 : farmyard, barnyard 2 : poultry"
bassesse,"[basεs] nf : baseness, meanness"
basset,[basε] nm : basset hound
bassin,"[basɛ̃] nm 1 : basin (of a river) 2 : lake, pond, pool 3 : pelvis"
bassine,"[basin] nf 1 : large bowl, basin 2 Can : bedpan 3 : bowlful"
basson,[basɔ̃] nm : bassoon
bastion,[bastjɔ̃] nm : bastion
bas-ventre,"[bavᾶtr] nm, pl bas-ventres : lower abdomen"
bât,[ba] nm 1 : packsaddle 2 c'est là où le bât blesse : that's where the shoe pinches
bataclan,"[bataklᾶ] nm, fam 1 : stuff, gear 2 tout le bataclan : the whole kit and caboodle"
bataille,"[bataj] nf 1 : battle, fight 2 en ~ : in disarray, disheveled"
batailler,[bataje] vi : to fight
"batailleur 1, -leuse","[batajœr, -jøz] adj : quarrelsome, belligerent batailleur 2, leuse n : fighter"
bataillon,[batajɔ̃] nm : battalion
"bâtard 1, -tarde","[batar, -tard] adj 1 : hybrid, crossbred 2 : bastard bâtard 2, -tarde n : bastard bâtard 3 nm, France : small loaf of bread"
bateau 1,"[bato] adj, s & pl, bateau : hackneyed bateau 2 nm, pl bateaux 1 : boat, ship <bateau de pêche : fishing boat> <bateau amiral : flagship> <bateau de guerre : warship> <bateau de plaisance : launch> <bateau à voile : sailboat> 2 faire du bateau : to go sailing"
bateau-mouche,"[batomu∫] nm, pl bateaux-mouches : sightseeing boat"
"bateleur, -leuse","[batlœr, -løz] n 1 : juggler, tumbler 2 : fool, buffoon"
"batelier, -lière","[batəlje, -ljεr] n : boatman"
bâti,"[bati] nm 1 : framework, support 2 : tacking, basting (in sewing)"
batifoler,"[batifɔle] vi : to frolic, to romp"
bâtiment,[batimᾶ] nm 1 : building 2 : building trade 3 : ship <bâtiment de guerre : man-of-war>
bâtir,"[batir] vt 1 ▶ construire : to build, to erect 2 : to build up, to develop 3 : to baste, to tack"
"bâtisseur, -seuse","[batisœr, -søz] n : builder"
bâton,"[batɔ̃] nm 1 : rod, pole <bâton de ski : ski pole> 2 : piece, stick <bâton de rouge (à lèvres) : lipstick> 3 : nightstick 4 : baton 5 Can : bat <bâton de baseball : baseball bat>"
bâtonnet,"[batɔnε] nm : short stick, rod"
battage,"[bataʒ] nm 1 : beating, threshing 2 : hype 3 : shuffle, shuffling (of playing cards)"
"battant 1, -tante","[batᾶ, -tᾶt] adj : beating, driving, banging <pluie battante : driving rain> <le cœur battant : with a pounding heart> battant 2 nm 1 : flap, section (of a door, window, etc.) 2 : clapper (of a bell)"
"battant 3, -tante","[batᾶ, -tᾶt] nmf : fighter, go-getter"
batte,[bat] nf : bat (in sports)
battement,"[batmᾶ] nm 1 : beating, fluttering, blinking 2 : clapping, tapping, banging 3 : interval, wait"
batterie,"[batri] nf 1 : set, group, battery <une batterie de tests : a string of tests> 2 : battery (of artillery) 3 : drums, drum set 4 : battery (of a motor vehicle)"
